NAME ,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,Latitude,Longitude ,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
Albany Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3401 W. Foster Ave.,Chicago,IL,60625,773 539-5450,https://www.chipublib.org/locations/3/,41.97557882,-87.71361315,20,13,21849,167,38
Altgeld,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",955 E. 131st Street,Chicago,IL,60827,312 747-3270,https://www.chipublib.org/locations/4/,41.65719848,-87.59883829,47,51,4460,10,43
Archer Heights,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5, Sun., 1-5",5055 S. Archer Ave.,Chicago,IL,60632,312 747-9241,https://www.chipublib.org/locations/5/,41.80110836,-87.72648386,56,54,22248,697,8
Austin,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5, Sun., 1-5",5615 W. Race Ave.,Chicago,IL,60644,312 746-5038,https://www.chipublib.org/locations/6/,41.88917312,-87.76582036,32,26,22216,672,7
Austin-Irving,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6100 W. Irving Park Rd.,Chicago,IL,60634,312 744-6222,https://www.chipublib.org/locations/7/,41.95312268,-87.77928489,52,15,22254,131,19
Avalon,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8148 S. Stony Island Ave.,Chicago,IL,60617,312 747-5234,https://www.chipublib.org/locations/8/,41.74639304,-87.58600537,61,41,21202,133,35
Back of the Yards,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2111 W. 47th St.,Chicago,IL,60609,312 747-9595,https://www.chipublib.org/locations/9/,41.80838442,-87.67756964,37,59,14924,788,3
Beverly,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1962 W. 95th St.,Chicago,IL,60643,312 747-9673,https://www.chipublib.org/locations/10/,41.72118979,-87.67214621,59,71,22212,627,42
Bezazian,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1226 W. Ainslie St.,Chicago,IL,60640,312 744-0019,https://www.chipublib.org/locations/11/,41.97155144,-87.66095348,15,31,22616,633,39
Blackstone,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4904 S. Lake Park Ave.,Chicago,IL,60615,312 747-0511,https://www.chipublib.org/locations/12/,41.80549277,-87.58923749,10,5,21192,400,10
Brainerd,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1350 W. 89th St.,Chicago,IL,60620,312 747-6291,https://www.chipublib.org/locations/13/,41.73244482,-87.65772893,59,70,21554,533,13
Brighton Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4314 S. Archer Ave.,Chicago,IL,60632,312 747-0666,https://www.chipublib.org/locations/14/,41.81516028,-87.70273371,56,55,22248,156,3
Bucktown-Wicker Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1701 N. Milwaukee Ave.,Chicago,IL,60647,312 744-6022,https://www.chipublib.org/locations/15/,41.91235488,-87.68029967,1,25,22535,179,40
Budlong Woods,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5630 N. Lincoln Ave.,Chicago,IL,60659,312 742-9590,https://www.chipublib.org/locations/16/,41.98369798,-87.69631577,50,20,4450,15,24
Canaryville,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",642 W. 43rd St.,Chicago,IL,60609,312 747-0644,https://www.chipublib.org/locations/17/,41.81634394,-87.64256828,37,59,14924,123,48
Chicago Bee,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3647 S. State St.,Chicago,IL,60609,312 747-6872,https://www.chipublib.org/locations/18/,41.82824306,-87.62634954,36,1,14924,446,9
Chicago Lawn,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6120 S. Kedzie Ave.,Chicago,IL,60629,312 747-0639,https://www.chipublib.org/locations/19/,41.7819768,-87.70336809,58,64,21867,344,6
Chinatown,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",2100 S. Wentworth Ave.,Chicago,IL,60616,312 747-8013,https://www.chipublib.org/locations/20/,41.85412074,-87.63195792,40,35,21194,3,26
Clearing,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6423 W. 63rd Pl.,Chicago,IL,60638,312 747-5657,https://www.chipublib.org/locations/21/,41.77665268,-87.78218758,7,62,22268,336,6
Coleman,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",731 E. 63rd St.,Chicago,IL,60637,312 747-7760,https://www.chipublib.org/locations/22/,41.78028267,-87.60712229,60,9,22260,332,4
"Daley, Richard J.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3400 S. Halsted St.,Chicago,IL,60608,312 747-8990,https://www.chipublib.org/locations/23/,41.83279768,-87.64629981,43,58,14920,171,48
"Daley, Richard M.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",733 N. Kedzie Ave.,Chicago,IL,60612,312 743-0555,https://www.chipublib.org/locations/24/,41.89472666,-87.70638418,28,24,21184,177,46
Douglass,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3353 W. 13th St.,Chicago,IL,60623,312 747-3725,https://www.chipublib.org/locations/25/,41.86441239,-87.71017466,57,30,21569,34,14
Dunning,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7455 W. Cornelia Ave.,Chicago,IL,60634,312 743-0480,https://www.chipublib.org/locations/26/,41.94319949,-87.81395164,52,17,22254,458,19
Edgebrook,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5331 W. Devon Ave.,Chicago,IL,60646,312 744-8313,https://www.chipublib.org/locations/27/,41.99721337,-87.76211752,18,12,22532,782,38
Edgewater,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6000 N. Broadway St.,Chicago,IL,60660,312 742-1945,https://www.chipublib.org/locations/28/,41.99095924,-87.66044275,14,76,4451,536,16
Gage Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2807 W. 55th St.,Chicago,IL,60632,312 747-0032,https://www.chipublib.org/locations/29/,41.79357525,-87.69413004,58,61,22248,764,2
Galewood-Mont Clare,Temporarily closed.,6871 W. Belden Ave.,Chicago,IL,60707,312 746-0165,https://www.chipublib.org/locations/30/,41.92103326,-87.79791006,3,18,4454,136,7
Garfield Ridge,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6348 S. Archer Ave.,Chicago,IL,60638,312 747-6094,https://www.chipublib.org/locations/31/,41.7929158,-87.78013459,7,53,22268,587,6
Greater Grand Crossing,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1000 E. 73rd St.,Chicago,IL,60619,312 745-1608,https://www.chipublib.org/locations/32/,41.76239542,-87.60051217,61,67,21546,121,33
Hall,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4801 S. Michigan Ave.,Chicago,IL,60615,312 747-2541,https://www.chipublib.org/locations/33/,41.80737785,-87.6226372,10,4,21192,448,9
Harold Washtington Library Center,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",400 S. State St.,Chicago,IL,60605,312 747-4300,https://www.chipublib.org/locations/34/,41.87686253,-87.62779697,35,38,14913,92,10
Hegewisch,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3048 E. 130th St.,Chicago,IL,60633,312 747-0046,https://www.chipublib.org/locations/35/,41.6592766,-87.54881978,26,52,22250,787,47
Humboldt Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1605 N. Troy St.,Chicago,IL,60647,312 744-2244,https://www.chipublib.org/locations/36/,41.91033231,-87.70551941,1,24,22535,389,49
Independence,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4024 N. Elston Ave.,Chicago,IL,60618,312 744-0900,https://www.chipublib.org/locations/37/,41.95413886,-87.72001556,39,16,21538,364,50
Jefferson Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",5363 W. Lawrence Ave.,Chicago,IL,60630,312 744-1998,https://www.chipublib.org/locations/38/,41.96750826,-87.76176748,48,15,21869,260,50
Jeffery Manor,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2401 E. 100th St.,Chicago,IL,60617,312 747-6479,https://www.chipublib.org/locations/39/,41.71340054,-87.56573414,25,48,21202,252,37
Kelly,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6151 S. Normal Blvd.,Chicago,IL,60621,312 747-8418,https://www.chipublib.org/locations/40/,41.7820257,-87.63738794,11,66,21559,166,4
King,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3436 S. King Dr.,Chicago,IL,60616,312 747-7543,https://www.chipublib.org/locations/41/,41.8317513,-87.61747228,40,1,21194,190,10
Legler Regional,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",115 S. Pulaski Rd.,Chicago,IL,60624,312 746-7730,https://www.chipublib.org/locations/42/,41.87934543,-87.72547641,30,27,21572,736,23
Lincoln Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1659 W. Melrose St.,Chicago,IL,60657,312 744-0166,https://www.chipublib.org/locations/43/,41.94046531,-87.67102536,22,57,4449,742,18
Lincoln Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1150 W. Fullerton Ave.,Chicago,IL,60614,312 744-1926,https://www.chipublib.org/locations/44/,41.92540664,-87.65806218,16,68,21190,795,34
Little Italy,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1336 W. Taylor St.,Chicago,IL,60607,312 746-5656,https://www.chipublib.org/locations/62/,41.86946341,-87.66072613,44,29,14917,759,23
Little Village,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2311 S. Kedzie Ave.,Chicago,IL,60623,312 745-1862,https://www.chipublib.org/locations/45/,41.84959156,-87.70504118,57,32,21569,261,1
Logan Square,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3030 W. Fullerton Ave.,Chicago,IL,60647,312 744-5295,https://www.chipublib.org/locations/46/,41.92486038,-87.70351905,1,23,22535,549,40
Lozano,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1805 S. Loomis St.,Chicago,IL,60608,312 746-4329,https://www.chipublib.org/locations/47/,41.85760123,-87.66116376,43,33,14920,365,26
Manning,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6 S. Hoyne Ave.,Chicago,IL,60612,312 746-6800,https://www.chipublib.org/locations/48/,41.88108556,-87.67923505,28,29,21184,89,46
Mayfair,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4400 W. Lawrence Ave.,Chicago,IL,60630,312 744-1254,https://www.chipublib.org/locations/49/,41.96824277,-87.73796878,48,14,21869,751,38
McKinley Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1915 W. 35th St.,Chicago,IL,60609,312 747-6082,https://www.chipublib.org/locations/50/,41.83030075,-87.67349098,37,56,14924,720,1
Merlo,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",644 W. Belmont Ave.,Chicago,IL,60657,312 744-1139,https://www.chipublib.org/locations/51/,41.94013164,-87.64602858,22,57,4449,730,25
Mount Greenwood,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11010 S. Kedzie Ave.,Chicago,IL,60655,312 747-2805,https://www.chipublib.org/locations/52/,41.69301581,-87.70102478,33,73,4447,369,42
Near North,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",310 W. Division St.,Chicago,IL,60610,312 744-0991,https://www.chipublib.org/locations/53/,41.90393142,-87.63660776,54,37,14926,290,11
North Austin,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5724 W. North Ave.,Chicago,IL,60639,312 746-4233,https://www.chipublib.org/locations/54/,41.90944483,-87.76898327,2,26,22615,597,7
North Pulaski,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4300 W. North Ave.,Chicago,IL,60639,312 744-9573,https://www.chipublib.org/locations/55/,41.90989766,-87.73376823,2,24,22615,285,49
Northtown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6800 N. Western Ave.,Chicago,IL,60645,312 744-2292,https://www.chipublib.org/locations/56/,42.00507612,-87.69021903,12,20,22528,42,27
Oriole Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7454 W. Balmoral Ave.,Chicago,IL,60656,312 744-1965,https://www.chipublib.org/locations/57/,41.97809811,-87.8142003,31,36,4448,735,29
Popular Library at Water Works,"Mon. - Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",163 E. Pearson St.,Chicago,IL,60611,312 742-8811,https://www.chipublib.org/locations/73/,41.89748407,-87.62337777,6,37,21182,233,11
Portage-Cragin,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5108 W. Belmont Ave.,Chicago,IL,60641,312 744-0152,https://www.chipublib.org/locations/58/,41.93883597,-87.75467117,21,15,22618,114,17
Pullman,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11001 S. Indiana Ave.,Chicago,IL,60628,312 747-2033,https://www.chipublib.org/locations/59/,41.69436482,-87.61814141,19,45,21861,237,43
Roden,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6083 N. Northwest Hwy.,Chicago,IL,60631,312 744-1478,https://www.chipublib.org/locations/60/,41.9919976,-87.79820643,17,36,22243,657,29
Rogers Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6907 N. Clark St.,Chicago,IL,60626,312 744-0156,https://www.chipublib.org/locations/61/,42.00682227,-87.67330813,9,10,21853,49,5
Scottsdale,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4101 W. 79th St.,Chicago,IL,60652,312 747-0193,https://www.chipublib.org/locations/63/,41.74928543,-87.72440869,8,69,4300,235,30
Sherman Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5440 S. Racine Ave.,Chicago,IL,60609,312 747-0477,https://www.chipublib.org/locations/64/,41.79476902,-87.65502838,37,59,14924,790,4
South Chicago,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",9055 S. Houston Ave.,Chicago,IL,60617,312 747-8065,https://www.chipublib.org/locations/65/,41.73029772,-87.54972659,25,42,21202,175,47
South Shore,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2505 E. 73rd St.,Chicago,IL,60649,312 747-5281,https://www.chipublib.org/locations/66/,41.76254142,-87.56387694,24,39,22538,245,37
Sulzer Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",4455 N. Lincoln Ave.,Chicago,IL,60625,312 744-7616,https://www.chipublib.org/locations/67/,41.96296686,-87.68469465,20,6,21849,667,18
Thurgood Marshall,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7506 S. Racine Ave.,Chicago,IL,60620,312 747-5927,https://www.chipublib.org/locations/68/,41.75734388,-87.65406438,59,70,21554,572,31
Toman,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",2708 S. Pulaski Rd.,Chicago,IL,60623,312 745-1660,https://www.chipublib.org/locations/69/,41.8420861,-87.72463966,57,32,21569,248,28
Uptown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",929 W. Buena Ave.,Chicago,IL,60613,312 744-8400,https://www.chipublib.org/locations/70/,41.95832306,-87.65424744,53,31,21186,577,39
Vodak-East Side,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3710 E. 106th St.,Chicago,IL,60617,312 747-5500,https://www.chipublib.org/locations/71/,41.70283444,-87.61428978,19,45,21861,236,43
Walker,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11071 S. Hoyne Ave.,Chicago,IL,60643,312 747-1920,https://www.chipublib.org/locations/72/,41.69198347,-87.6739093,13,74,22212,380,42
West Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3104 N. Narragansett Ave.,Chicago,IL,60611,312 746-5142,https://www.chipublib.org/locations/74/,41.93665219,-87.78602401,52,19,22254,137,44
West Chicago Avenue,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4856 W. Chicago Ave.,Chicago,IL,60634,312 743-0260,https://www.chipublib.org/locations/75/,41.8950961,-87.74806073,5,26,4299,578,45
West Englewood,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1745 W. 63rd St.,Chicago,IL,60651,312 747-3481,https://www.chipublib.org/locations/76/,41.77928204,-87.66843344,23,65,22257,280,3
West Lawn,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4020 W. 63rd St.,Chicago,IL,60636,312 747-7381,https://www.chipublib.org/locations/77/,41.77875389,-87.72374295,58,63,21867,292,6
West Loop,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",122 N. Aberdeen St.,Chicago,IL,60607,312 744-2995,https://www.chipublib.org/locations/88/,41.8837105,-87.65456505,44,29,14917,63,46
West Pullman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",830 W. 119th St.,Chicago,IL,60643,312 747-1425,https://www.chipublib.org/locations/78/,41.67790647,-87.64316832,13,50,22212,642,22
West Town,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1625 W. Chicago Ave.,Chicago,IL,60622,312 743-0450,https://www.chipublib.org/locations/79/,41.8959473,-87.66829305,4,25,21560,520,41
"Whitney M. Young, Jr.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",415 East 79th St.,Chicago,IL,60619,312 747-0039,https://www.chipublib.org/locations/80/,41.75101846,-87.61495065,61,40,21546,11,32
Woodson Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",9525 S. Halsted St.,Chicago,IL,60628,312 747-6900,https://www.chipublib.org/locations/81/,41.72069489,-87.64304817,19,72,21861,593,13
Wrightwood-Ashburn,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8530 S. Kedzie Ave.,Chicago,IL,60652,312 747-2696,https://www.chipublib.org/locations/82/,41.73795705,-87.70221598,8,69,4300,198,30
